posicao,song_name,artista,ultima_semana,pico,semanas
177,AI YoungBoy 2,YoungBoy Never Broke Again,-,1,1
178,Blonde,Frank Ocean,-,1,1
179,The Greatest Hits Collection,Brooks & Dunn,-,1,1
180,Born Sinner,J. Cole,-,1,1
181,Hozier,Hozier,-,1,1
182,TV,Tai Verdes,-,1,1
183,Whole Lotta Red,Playboi Carti,-,1,1
184,IGOR,"Tyler, The Creator",-,1,1
185,reputation,Taylor Swift,-,1,1
186,KG0516,Karol G,-,1,1
187,Hot Rocks 1964-1971,The Rolling Stones,-,1,1
188,Purgatory,Tyler Childers,-,1,1
189,High Off Life,Future,-,1,1
190,DS2,Future,-,1,1
191,Born To Die,Lana Del Rey,-,1,1
192,Dark Lane Demo Tapes,Drake,-,1,1
193,Teenage Dream,Katy Perry,-,1,1
194,The Search,NF,-,1,1
195,Savage Mode II,21 Savage & Metro Boomin,-,1,1
196,Fearless (Taylor's Version),Taylor Swift,-,1,1
197,17,XXXTENTACION,-,1,1
198,Famous Friends,Chris Young,-,1,1
199,Blurryface,twenty one pilots,-,1,1
200,Greatest Hits,Fleetwood Mac,-,1,1
